star.thisTrialN,star.stepSize,star.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,star.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
24,0.5,12.5,28.989358300343156,,28.978010800201446,28.989358300343156,29.489205100107938,29.489205100107938,29.489205100107938,29.789117900189012,29.91232050023973,left,-12.5,1,1,0.4152433997951448,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
25,0.5,12.5,29.922004400286824,,29.912455100100487,29.922004400286824,30.422381700016558,30.422381700016558,30.422381700016558,30.722400600090623,30.761033300310373,left,-12.5,1,1,0.325197400059551,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
26,0.5,12.5,30.772281300276518,,30.761157600209117,30.772281300276518,31.27230460010469,31.27230460010469,31.27230460010469,31.572369700297713,31.610954700037837,right,12.5,0,0,0.33273869985714555,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
27,0.5,13.0,31.621928500011563,,31.61107819993049,31.621928500011563,32.12254719994962,32.12254719994962,32.12254719994962,32.422563599888235,32.64439749997109,right,13.0,1,1,0.505515200085938,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
28,0.5,13.0,32.65549230016768,,32.64451130013913,32.65549230016768,33.15548830013722,33.15548830013722,33.15548830013722,33.45568699995056,33.72609629994258,right,13.0,1,1,0.565268499776721,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
29,0.5,13.0,33.73831330006942,,33.72619510022923,33.73831330006942,34.23900400009006,34.23900400009006,34.23900400009006,,34.42765469988808,left,-13.0,0,0,0.18046140018850565,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
30,0.5,13.5,34.438306299969554,,34.42777470033616,34.438306299969554,34.93905150005594,34.93905150005594,34.93905150005594,35.23834070004523,35.42922540009022,right,13.5,1,1,0.48715619975700974,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
31,0.5,13.5,35.43824020028114,,35.42934809997678,35.43824020028114,35.93871820019558,35.93871820019558,35.93871820019558,36.23878809995949,36.3779301000759,right,13.5,1,1,0.43620080035179853,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
32,0.5,13.5,36.38825700012967,,36.37804670026526,36.38825700012967,36.88866170030087,36.88866170030087,36.88866170030087,37.188587500248104,37.26130919996649,right,13.5,1,1,0.36703599989414215,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
33,0.5,13.0,37.271542800124735,,37.261463900096714,37.271542800124735,37.771436899900436,37.771436899900436,37.78838209994137,38.071882999967784,38.125941100064665,left,-13.0,0,0,0.3423784002661705,043748,001,2024-09-12_17h49.57.649,third_experiment,2024.1.5,None,2024-09-12 17h50.01.399853 +0530,
