8.5172 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
8.5174 	EXP 	window1: mouseVisible = True
8.5236 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1.0, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0135 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0253 	EXP 	grating: ori = -10.0
0.0253 	EXP 	fixation: autoDraw = True
0.5452 	INFO 	Keyboard events cleared
0.5441 	EXP 	grating: autoDraw = True
0.5441 	EXP 	grating: tex = 'sin'
0.5595 	EXP 	fixation: autoDraw = False
0.8429 	EXP 	grating: autoDraw = False
2.5741 	DATA 	Keypress: right
2.5911 	EXP 	fixation: autoDraw = False
2.5911 	EXP 	grating: autoDraw = False
2.5911 	EXP 	grating: ori = 12.0
2.5911 	EXP 	fixation: autoDraw = True
3.0770 	INFO 	Keyboard events cleared
3.0761 	EXP 	grating: autoDraw = True
3.0921 	EXP 	fixation: autoDraw = False
3.3755 	EXP 	grating: autoDraw = False
3.8335 	DATA 	Keypress: right
3.8421 	EXP 	fixation: autoDraw = False
3.8421 	EXP 	grating: autoDraw = False
3.8421 	EXP 	grating: ori = -11.0
3.8421 	EXP 	fixation: autoDraw = True
4.3424 	INFO 	Keyboard events cleared
4.3415 	EXP 	fixation: autoDraw = False
4.3415 	EXP 	grating: autoDraw = True
4.6423 	EXP 	grating: autoDraw = False
4.9674 	DATA 	Keypress: left
4.9750 	EXP 	fixation: autoDraw = False
4.9750 	EXP 	grating: autoDraw = False
4.9750 	EXP 	grating: ori = 11.0
4.9750 	EXP 	fixation: autoDraw = True
5.4761 	INFO 	Keyboard events cleared
5.4752 	EXP 	fixation: autoDraw = False
5.4752 	EXP 	grating: autoDraw = True
5.7755 	EXP 	grating: autoDraw = False
6.3008 	DATA 	Keypress: right
6.3087 	EXP 	fixation: autoDraw = False
6.3087 	EXP 	grating: autoDraw = False
6.3087 	EXP 	grating: ori = 11.0
6.3087 	EXP 	fixation: autoDraw = True
6.8094 	INFO 	Keyboard events cleared
6.8087 	EXP 	fixation: autoDraw = False
6.8087 	EXP 	grating: autoDraw = True
7.1085 	EXP 	grating: autoDraw = False
7.3160 	DATA 	Keypress: left
7.3242 	EXP 	fixation: autoDraw = False
7.3242 	EXP 	grating: autoDraw = False
7.3242 	EXP 	grating: ori = -12.0
7.3242 	EXP 	fixation: autoDraw = True
7.8264 	INFO 	Keyboard events cleared
7.8256 	EXP 	fixation: autoDraw = False
7.8256 	EXP 	grating: autoDraw = True
8.1251 	EXP 	grating: autoDraw = False
8.6662 	DATA 	Keypress: left
8.6753 	EXP 	fixation: autoDraw = False
8.6753 	EXP 	grating: autoDraw = False
8.6753 	EXP 	grating: ori = -12.0
